instant,cnt
501,7424.0
502,7384.000000000001
503,7639.000000000001
504,8294.0
505,7129.000000000001
506,4359.0
507,6073.0
508,5260.0
509,6770.0
510,6734.0
511,6536.000000000001
512,6591.000000000002
513,6043.000000000001
514,5743.0
515,6855.0
516,7338.0
517,4127.0
518,8120.000000000001
519,7641.000000000001
520,6998.000000000001
521,7001.0
522,7055.000000000001
523,7494.000000000001
524,7736.0
525,7498.000000000001
526,6598.000000000001
527,6664.0
528,4972.0
529,7421.0
530,7363.000000000001
531,7665.000000000001
532,7702.000000000001
533,6978.000000000001
534,5099.0
535,6825.000000000001
536,6211.0
537,5905.000000000001
538,5823.0
539,7458.000000000001
540,6891.000000000001
541,6779.0
542,7442.000000000001
543,7335.0
544,6879.0
545,5463.000000000001
546,5687.0
547,5531.0
548,6227.0
549,6660.0
550,7403.000000000001
551,6241.000000000001
552,6207.0
553,4840.000000000001
554,4672.000000000001
555,6569.0
556,6290.0
557,7264.0
558,7446.0
559,7499.0
560,6969.000000000001
561,6031.000000000001
562,6830.000000000001
563,6786.000000000001
564,5713.000000000001
565,6591.0
566,5870.0
567,4459.000000000001
568,7410.000000000001
569,6966.0
570,7592.000000000001
571,8173.0
572,6861.000000000001
573,6904.000000000001
574,6685.000000000001
575,6597.000000000001
576,7105.000000000001
577,7216.0
578,7580.000000000001
579,7261.000000000001
580,7175.0
581,6824.000000000001
582,5464.000000000001
583,7013.0
584,7273.0
585,7534.0
586,7286.000000000001
587,5786.0
588,6299.000000000001
589,6544.000000000001
590,6883.000000000001
591,6784.000000000001
592,7347.000000000001
593,7605.000000000001
594,7147.999999999995
595,7865.000000000001
596,4549.000000000001
597,6530.0
598,7006.000000000001
599,7375.000000000001
600,7765.000000000001
601,7582.0
602,6053.000000000001
603,5255.0
604,6917.0
605,7040.0
606,7697.000000000001
607,7713.000000000001
608,7350.0
609,6140.000000000001
610,5810.000000000001
611,6034.000000000001
612,6864.000000000001
613,7112.000000000001
614,6203.0
615,7504.000000000001
616,5976.0
617,8227.0
618,7525.000000000001
619,7767.000000000001
620,7870.000000000001
621,7804.000000000001
622,8009.000000000001
623,8714.0
624,7333.000000000001
625,6869.0
626,4073.0
627,7591.000000000001
628,7720.000000000001
629,8167.0
630,8395.0
631,7907.000000000001
632,7436.000000000001
633,7538.000000000001
634,7732.999999999999
635,7393.0
636,7415.0
637,8555.0
638,6889.000000000001
639,6778.000000000001
640,4639.0
641,7571.999999999999
642,7328.0
643,8156.000000000001
644,7965.000000000001
645,3510.0000000000014
646,5478.000000000001
647,6392.0
648,7691.0
649,7570.000000000001
650,7282.000000000001
651,7109.000000000001
652,6639.000000000001
653,5875.0
654,7534.000000000001
655,7461.000000000001
656,7509.000000000001
657,5424.0
658,8090.000000000001
659,6824.000000000001
660,7058.000000000001
661,7466.000000000001
662,7693.0
663,7359.000000000001
664,7444.000000000001
665,7852.000000000001
666,4459.000000000001
667,22.000000000001624
668,1096.0000000000014
669,5566.0
670,5986.000000000001
671,5847.000000000001
672,5138.000000000001
673,5107.000000000001
674,5259.000000000001
675,5686.000000000001
676,5035.0
677,5315.000000000001
678,5992.000000000001
679,6536.000000000001
680,6852.000000000001
681,6269.000000000001
682,4094.0000000000005
683,5495.000000000001
684,5445.000000000001
685,5698.000000000001
686,5629.000000000001
687,4669.000000000001
688,5499.0
689,5634.000000000001
690,5146.000000000001
691,2425.0000000000023
692,3910.0000000000023
693,2277.0000000000014
694,2424.000000000002
695,5087.000000000001
696,3959.0000000000005
697,5260.000000000001
698,5323.000000000001
699,5668.000000000001
700,5191.000000000001
701,4649.000000000001
702,6234.000000000001
703,6606.000000000001
704,5729.000000000001
705,5375.000000000001
706,5008.000000000001
707,5582.000000000001
708,3228.0000000000014
709,5170.0
710,5501.0
711,5319.000000000001
712,5532.000000000001
713,5611.000000000001
714,5047.000000000001
715,3786.0000000000014
716,4585.000000000001
717,5557.000000000001
718,5267.000000000001
719,4128.000000000001
720,3623.0000000000014
721,1749.0000000000018
722,1787.0000000000023
723,920.0000000000023
724,1013.0000000000022
725,441.00000000000136
726,2114.0000000000014
727,3095.000000000002
728,1341.0000000000016
729,1796.0000000000018
730,2729.0000000000014
